1633046400000,0.06270000,0.06290000,0.06240000,0.06270000,10831780.00000000,1633047299999,678539.47650000,1171,5606769.00000000,351413.46510000,0
1633047300000,0.06270000,0.06310000,0.06260000,0.06270000,9183629.00000000,1633048199999,577202.41430000,1200,2580860.00000000,162338.29890000,0
1633048200000,0.06270000,0.06300000,0.06260000,0.06280000,6117714.00000000,1633049099999,383992.07710000,1088,2163584.00000000,135943.45350000,0
1633049100000,0.06290000,0.06290000,0.06250000,0.06250000,3635293.00000000,1633049999999,227563.28410000,835,1045000.00000000,65493.80750000,0
1633050000000,0.06260000,0.06260000,0.06200000,0.06220000,7072514.00000000,1633050899999,439916.78460000,1345,1942672.00000000,120911.23200000,0
1633050900000,0.06210000,0.06240000,0.06210000,0.06220000,4810906.00000000,1633051799999,299164.54660000,1010,1626688.00000000,101247.96410000,0
1633051800000,0.06220000,0.06270000,0.06210000,0.06260000,5437681.00000000,1633052699999,339038.43790000,1034,2551779.00000000,159353.61160000,0
1633052700000,0.06260000,0.06270000,0.06220000,0.06220000,4198559.00000000,1633053599999,261729.30360000,1038,1418130.00000000,88438.08900000,0
1633053600000,0.06220000,0.06260000,0.06220000,0.06230000,4796113.00000000,1633054499999,299445.73630000,973,2400318.00000000,149960.21540000,0
1633054500000,0.06230000,0.06240000,0.06200000,0.06210000,5115384.00000000,1633055399999,318123.34500000,1064,1484081.00000000,92411.15150000,0
1633055400000,0.06210000,0.06220000,0.06180000,0.06200000,6526830.00000000,1633056299999,404914.46900000,1312,1405535.00000000,87285.98150000,0
1633056300000,0.06190000,0.06200000,0.06180000,0.06180000,4989740.00000000,1633057199999,308614.65630000,1076,1698785.00000000,105184.97770000,0
1633057200000,0.06180000,0.06200000,0.06170000,0.06180000,3939259.00000000,1633058099999,243717.86860000,1088,1354326.00000000,83885.70120000,0
1633058100000,0.06190000,0.06200000,0.06180000,0.06190000,3927436.00000000,1633058999999,243084.11370000,1028,1361937.00000000,84367.56500000,0
1633059000000,0.06200000,0.06200000,0.06180000,0.06190000,3829210.00000000,1633059899999,237052.49990000,1079,1415993.00000000,87714.33460000,0
1633059900000,0.06190000,0.06220000,0.06180000,0.06210000,4551988.00000000,1633060799999,282020.00950000,1102,2401304.00000000,148879.62320000,0
1633060800000,0.06210000,0.06210000,0.06180000,0.06190000,3836924.00000000,1633061699999,237701.22450000,1000,1492964.00000000,92577.18190000,0
1633061700000,0.06190000,0.06210000,0.06150000,0.06150000,11692129.00000000,1633062599999,721212.52080000,1681,1954790.00000000,120729.78360000,0
1633062600000,0.06160000,0.06160000,0.06110000,0.06130000,7836106.00000000,1633063499999,480532.90170000,1650,2004209.00000000,122950.59480000,0
1633063500000,0.06120000,0.06130000,0.06110000,0.06120000,4876830.00000000,1633064399999,298502.45520000,1207,1609878.00000000,98639.91860000,0
1633064400000,0.06130000,0.06140000,0.06080000,0.06090000,9696899.00000000,1633065299999,592481.94990000,1926,2650299.00000000,162249.22380000,0
1633065300000,0.06100000,0.06170000,0.06090000,0.06160000,6983452.00000000,1633066199999,428790.49140000,1577,3620956.00000000,222373.00770000,0
1633066200000,0.06160000,0.06190000,0.06150000,0.06170000,7750295.00000000,1633067099999,477865.67570000,1369,3747882.00000000,231220.73630000,0
1633067100000,0.06170000,0.06180000,0.06150000,0.06170000,3936814.00000000,1633067999999,242688.35510000,957,1765335.00000000,108922.97150000,0
1633068000000,0.06160000,0.06180000,0.06150000,0.06160000,5533650.00000000,1633068899999,340997.96700000,1014,2437680.00000000,150369.34310000,0
1633068900000,0.06150000,0.06160000,0.06100000,0.06110000,8695145.00000000,1633069799999,532007.85630000,1472,2418789.00000000,148106.87120000,0
1633069800000,0.06100000,0.06170000,0.06090000,0.06150000,10884255.00000000,1633070699999,667361.43770000,1434,5927037.00000000,363841.89310000,0
1633070700000,0.06150000,0.06180000,0.06140000,0.06160000,6507077.00000000,1633071599999,401033.05680000,1272,3192247.00000000,196941.60230000,0
1633071600000,0.06160000,0.06210000,0.06160000,0.06190000,9791937.00000000,1633072499999,606176.44830000,1711,5721316.00000000,354427.08930000,0
1633072500000,0.06180000,0.06300000,0.06180000,0.06280000,17061905.00000000,1633073399999,1067420.83550000,3067,11359337.00000000,711058.64900000,0
1633073400000,0.06280000,0.06380000,0.06250000,0.06380000,21992158.00000000,1633074299999,1385414.65980000,3712,13603065.00000000,857648.51280000,0
1633074300000,0.06370000,0.06390000,0.06300000,0.06340000,18551376.00000000,1633075199999,1177652.22190000,3415,8801512.00000000,559005.78370000,0
1633075200000,0.06330000,0.06400000,0.06320000,0.06360000,20674273.00000000,1633076099999,1314356.47870000,2925,11943260.00000000,759783.41950000,0
1633076100000,0.06350000,0.06490000,0.06340000,0.06460000,38257987.00000000,1633076999999,2458492.87140000,5868,20724072.00000000,1331730.83240000,0
1633077000000,0.06470000,0.06530000,0.06420000,0.06490000,33558707.00000000,1633077899999,2173684.50200000,4681,15419548.00000000,1000236.52770000,0
1633077900000,0.06480000,0.06710000,0.06430000,0.06610000,55283714.00000000,1633078799999,3653050.98360000,9940,31716533.00000000,2095507.10270000,0
1633078800000,0.06610000,0.07010000,0.06570000,0.06750000,93935450.00000000,1633079699999,6420913.54930000,16127,51222729.00000000,3502318.62500000,0
1633079700000,0.06750000,0.06830000,0.06630000,0.06640000,30208230.00000000,1633080599999,2033004.93120000,5493,12648609.00000000,852245.35650000,0
1633080600000,0.06640000,0.06690000,0.06550000,0.06580000,40365842.00000000,1633081499999,2668997.50510000,5406,19423850.00000000,1285210.65090000,0
